parameter name,measurement value,unit,latitude,longitude,sample date,time window,image date,resolution,blue,green,red,NIR,SWIR1,SWIR2,SurfTempK
"Chlorophyll a, uncorrected for pheophytin",82.5,ug/l,40.26828516781953,-111.82987733134885,7/11/1989 8:00:00 AM MST,44.4050925,07/09/1989 11:35:41 AM MDT,30,0.128295,0.180655,0.15076250000000002,0.06433,0.00941249999999999,0.008284999999999987,297.24978146
"Chlorophyll a, uncorrected for pheophytin",66.7,ug/l,40.1696501496232,-111.87164899206041,7/11/1989 8:30:00 AM MST,44.9050925,07/09/1989 11:35:41 AM MDT,30,0.1257375,0.18406499999999998,0.14776499999999998,0.06823499999999999,0.021705000000000002,0.011777499999999996,295.56811561999996
"Chlorophyll a, uncorrected for pheophytin",31.8,ug/l,40.23729329051741,-111.76465964172178,7/11/1989 9:00:00 AM MST,45.4050925,07/09/1989 11:35:41 AM MDT,30,0.10346250000000001,0.15312750000000003,0.1260675,0.05294500000000002,0.004242499999999982,0.008174999999999988,297.22927333999996
"Chlorophyll a, uncorrected for pheophytin",50.8,ug/l,40.26828516781953,-111.83715368515023,7/11/1989 9:30:00 AM MST,45.9050925,07/09/1989 11:35:41 AM MDT,30,0.13151249999999998,0.19094,0.15992,0.06796000000000002,0.00941249999999999,0.008284999999999987,296.69606222
"Chlorophyll a, uncorrected for pheophytin",147.6,ug/l,40.32083661194052,-111.76762408215937,7/11/1989 10:30:00 AM MST,46.9050925,07/09/1989 11:35:41 AM MDT,30,0.07719999999999999,0.1327775,0.0963675,0.09017999999999998,0.0172775,0.015352499999999991,299.06133206
"Chlorophyll a, uncorrected for pheophytin",36.9,ug/l,40.08529834444438,-111.88377624839603,7/11/1989 11:00:00 AM MST,47.4050925,07/09/1989 11:35:41 AM MDT,30,0.10338000000000003,0.15639999999999998,0.12634250000000002,0.08281,0.009825,0.008449999999999985,298.17606488
"Chlorophyll a, uncorrected for pheophytin",10.4,ug/l,40.1696501496232,-111.87164899206041,9/12/1990 8:00:00 AM MST,51.46743222222222,09/14/1990 11:28:02 AM MDT,30,0.10731249999999998,0.156785,0.12301499999999999,0.05198249999999999,-7.900000000000129E-4,-0.0013950000000000073,295.75952473999996
"Chlorophyll a, uncorrected for pheophytin",7.6,ug/l,40.25049852519396,-111.8347282338831,9/12/1990 8:00:00 AM MST,51.46743222222222,09/14/1990 11:28:02 AM MDT,30,0.11965999999999999,0.176695,0.1512575,0.07244250000000002,0.0018499999999999905,-0.0015324999999999922,293.71554878
"Chlorophyll a, uncorrected for pheophytin",32.2,ug/l,40.26020033026245,-111.76681559840367,9/12/1990 8:00:00 AM MST,51.46743222222222,09/14/1990 11:28:02 AM MDT,30,0.09026250000000002,0.14526250000000002,0.1084675,0.04629,0.0041049999999999975,0.002234999999999987,294.73753676
"Chlorophyll a, uncorrected for pheophytin",13.3,ug/l,40.209804842823345,-111.85251487650866,9/12/1990 8:00:00 AM MST,51.46743222222222,09/14/1990 11:28:02 AM MDT,30,0.10854999999999998,0.16871999999999998,0.133575,0.05577749999999998,0.004682500000000006,0.002564999999999984,295.25023976
"Chlorophyll a, uncorrected for pheophytin",38.9,ug/l,40.18851477058971,-111.73124231315253,9/12/1990 8:00:00 AM MST,51.46743222222222,09/14/1990 11:28:02 AM MDT,30,0.07417499999999999,0.11652499999999999,0.115425,0.08410250000000002,0.01254749999999999,0.006222499999999992,294.23166979999996
"Chlorophyll a, uncorrected for pheophytin",85.8,ug/l,40.157792387872824,-111.79133960566013,9/12/1990 8:00:00 AM MST,51.46743222222222,09/14/1990 11:28:02 AM MDT,30,0.08850249999999998,0.1369575,0.108825,0.05597000000000002,0.004847500000000005,0.0025924999999999976,294.23508782
"Chlorophyll a, uncorrected for pheophytin",25.1,ug/l,40.348594554219815,-111.84011812558782,9/12/1990 8:00:00 AM MST,51.46743222222222,09/14/1990 11:28:02 AM MDT,30,0.10874250000000002,0.170315,0.14133,0.079895,0.0065800000000000025,0.002014999999999989,293.70871274
"Chlorophyll a, uncorrected for pheophytin",24.7,ug/l,40.23163390422745,-111.80508382950715,9/12/1990 8:00:00 AM MST,51.46743222222222,09/14/1990 11:28:02 AM MDT,30,0.11369249999999997,0.17298249999999998,0.14069749999999998,0.05957249999999997,0.0073225000000000096,-0.0016424999999999912,294.22825178
"Chlorophyll a, uncorrected for pheophytin",37.9,ug/l,40.342126684174154,-111.87137949747517,9/12/1990 8:00:00 AM MST,51.46743222222222,09/14/1990 11:28:02 AM MDT,30,0.1245,0.18238749999999998,0.16665750000000001,0.0843775,0.006745000000000001,0.002124999999999988,293.70871274
"Chlorophyll a, uncorrected for pheophytin",25.1,ug/l,40.287958272541744,-111.83661469597975,9/12/1990 8:00:00 AM MST,51.46743222222222,09/14/1990 11:28:02 AM MDT,30,0.12678250000000002,0.18136999999999998,0.16588750000000002,0.0804725,0.0043249999999999955,0.0023724999999999996,293.19600974
"Chlorophyll a, uncorrected for pheophytin",10.4,ug/l,40.26828516781953,-111.82987733134885,9/12/1990 8:00:00 AM MST,51.46743222222222,09/14/1990 11:28:02 AM MDT,30,0.1251875,0.1807375,0.158325,0.07659500000000002,0.0046549999999999925,-0.0015324999999999922,293.71554878
"Chlorophyll a, uncorrected for pheophytin",77.3,ug/l,40.16776368752655,-111.7595392446023,9/12/1990 9:00:00 AM MST,50.46743222222222,09/14/1990 11:28:02 AM MDT,30,0.07178249999999997,0.12122749999999999,0.0981825,0.05583250000000001,0.0019325000000000037,0.002564999999999984,295.25365778
"Chlorophyll a, uncorrected for pheophytin",66.4,ug/l,40.333502857446604,-111.8015803998991,9/12/1990 10:00:00 AM MST,49.46743222222222,09/14/1990 11:28:02 AM MDT,30,0.08701750000000003,0.14969,0.11556250000000001,0.07544000000000001,0.006497499999999989,0.006085000000000007,294.22141574
"Chlorophyll a, uncorrected for pheophytin",15.6,ug/l,40.23729329051741,-111.76465964172178,9/12/1990 11:00:00 AM MST,48.46743222222222,09/14/1990 11:28:02 AM MDT,30,0.09169250000000001,0.14116499999999998,0.10470000000000002,0.04596,0.003939999999999999,0.0021525000000000016,294.73753676
"Chlorophyll a, uncorrected for pheophytin",21.8,ug/l,40.32083661194052,-111.7775953818131,9/12/1990 12:00:00 PM MST,47.46743222222222,09/14/1990 11:28:02 AM MDT,30,0.10255500000000001,0.16198250000000003,0.13387749999999998,0.07109500000000002,0.0035824999999999885,0.006085000000000007,295.74585265999997
"Chlorophyll a, uncorrected for pheophytin",29.4,ug/l,40.32083661194052,-111.7775953818131,9/12/1990 12:00:00 PM MST,47.46743222222222,09/14/1990 11:28:02 AM MDT,30,0.10255500000000001,0.16198250000000003,0.13387749999999998,0.07109500000000002,0.0035824999999999885,0.006085000000000007,295.74585265999997
